source,added,keep,name,search_ddg_tmp,party,gender,dep17,mandates,twitter,description,city,dept,geo,notes,notes_url,flag_collected_31_may_2019,EM_zone,EM_career,id,statuses,followers,created,last_tweeted
Twitter,2015-06,yes,Thierry ROBERT,,MODEM,m,,"Député, Maire",trobert974,Député de la 7ème circonscription de La Réunion - Maire de Saint-Leu.,saint leu,DOM TOM-LA-REUNION,y,,,TRUE,,,461870701,1293,1698,2012,12/04/2015
Élus 2.0,2015-06,"no, use updated profile",Vincent CHAUVET,,MODEM,m,,"Conseiller communautaire, Conseiller municipal, Maire adjoint",vincentchauvet,"Adjoint au maire d'Autun, Conseiller communautaire du Grand Autunois Morvan",,,n,,,TRUE,,,29061823,3824,4300,2009,21/04/2015
Twitter,2015-06,yes,Vincent CHAUVET,,MODEM,m,,"Conseiller communautaire, Maire adjoint",vincentchauvet,"Consultant en stratégie et innovation | Maire-adjoint d'Autun chargé du patrimoine historique, conseiller communautaire de l'Autunois-Morvan. Président @MoDem71",autun,saone et loire,y,,,TRUE,,,29061823,3824,4300,2009,21/04/2015
Twitter,2015-06,yes,Vincent REY,,MODEM,m,,Conseiller municipal,vincentrey_,Conseiller municipal @MoDem de Limoges - Président des @JeunesDem87 - M1 Histoire,limoges,haute vienne,y,,,TRUE,,,242664200,9949,315,2011,20/04/2015
Twitter,2015-06,yes,Yann LE DU,,MODEM,m,,Conseiller municipal,yledu,Conseiller municipal @VaFranconville @MoDem95130 · Vice-président @MoDem_95 (communication),franconville,val d oise,y,,,TRUE,,,6274062,33181,1329,2007,21/04/2015
Twitter,2015-06,yes,Yann WEHRLING,,MODEM,m,,"Conseiller municipal, Responsable politique national",yannwehrling,"Porte-parole du mouvement démocrate, conseiller de Paris,... et toujours encore illustrateur",paris,paris,y,PP MODEM,,TRUE,,,,,,,
Twitter,2015-06,yes,Laurent MAZAURY,,UDI,m,,"Conseiller communautaire, Maire adjoint",laurentmazaury,"Maire adjoint culture et loisirs de la ville d'Elancourt. Conseiller CASQY aux sports. Conseil National de l'UDI, Conseil Départemental de l'UDI 78 et du MODEM",elancourt,yvelines,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Ahmed LAOUEDJ,,DVG-PRG,m,,Conseiller municipal,ahmedlaouedj2,Président du Prg 93 / Elu à la ville d'Aulnay-sous bois (coopération décentralisée ),aulnay sous bois,seine saint denis,y,,,TRUE,,,1562559241,33,130,2013,12/02/2014
Élus 2.0,2015-06,"no, use updated profile",Alain TOURRET,,DVG-PRG,m,,"Député, Maire",alaintourret,Député de la 6ème circonscription du Calvados et Maire de Moult,,,n,,,TRUE,,,538968658,269,906,2012,13/04/2015
Twitter,2015-06,yes,Alain TOURRET,,DVG-PRG,m,,"Député, Maire",alaintourret,"Député-maire PRG de Moult. Les tweets signés AT sont d'Alain Tourret, les autres de ses collaborateurs",moult,calvados,y,,,TRUE,,,538968658,269,906,2012,13/04/2015
Twitter,2015-06,yes,André FRIEDENBERG,,DVG-PRG,m,,Conseiller régional,a_friedenberg,,,loire,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Benoît BITEAU,,DVG-PRG,m,,Vice-Président de Conseil Régional,identi_terre,"Paysan Bio, conservateur patrimoine vivant. Agronome & Généticien. PRG. Vice-président Région Poitou-Charentes. Président du Forum des Marais Atlantiques",,charente maritime,y,"non-nominal account, but clearly designating politician",,TRUE,,,601028185,614,252,2012,21/04/2015
Twitter,2015-06,yes,Catherine PIDOUX,,DVG-PRG,f,,"Conseiller régional, Maire adjoint",catherinepidoux,Municipales 2014 d'Ambérieu en Bugey,amberieu en bugey,ain,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Christiane TAUBIRA,,DVG-PRG,f,,"Conseiller régional, Ministre",chtaubira,"Garde des sceaux, ministre de la justice, Présidente du parti Walwari",,,n,,,TRUE,,,93484066,1185,186397,2009,20/04/2015
Twitter,2015-06,yes,Christiane TAUBIRA,,DVG-PRG,f,,"Conseiller régional, Ministre",chtaubira,"Compte officiel de Christiane Taubira, Garde des Sceaux, Ministre de la Justice. Les tweets rédigés par la ministre sont signés ChT",,,n,,,TRUE,,,93484066,1185,186397,2009,20/04/2015
Twitter,2015-06,yes,Christophe MARTINS,,DVG-PRG,m,,"Conseiller départemental, Maire, Président de Communauté d'Agglomération",christophemar38,Maire et Vice Président du Conseil Général 35 Président du groupe #PRG,,ille et vilaine,y,,,TRUE,,,398051482,155,222,2011,04/03/2015
Twitter,2015-06,yes,Cyril MOURIN,,DVG-PRG,m,,Maire adjoint,cyril_mourin,Adjoint #PRG au Maire #Paris14 chargé du #Commerce de l'#Artisanat & de l'Innovation Sociale || Chef-Adjoint Cabinet @Th_Braillard Secretaire d'Etat aux #Sports,paris,paris,y,,,TRUE,,,47297936,2443,1416,2009,18/04/2015
Twitter,2015-06,yes,Daniel PARIS,,DVG-PRG,m,,Maire,danielparis89,"Maire de Sens. Secrétaire national du PRG. Médecin vasculaire. Né le 1er mai 1960 à Sens. Marié, 3 enfants",sens,yonne,y,,,TRUE,,,526563867,417,336,2012,14/01/2014
Twitter,2015-06,yes,David CHARPENTIER,,DVG-PRG,m,,Conseiller municipal,davidcharp77,Secrétaire Général du Syndicat SIT 77 - Secrétaire Adjoint du PRG 77 - Membre du Comité Directeur National PRG Conseiller Municipal d'ESBLY - Président du FORUM,,seine et marne,y,,,TRUE,,,2857304423,32,56,2014,15/04/2015
Twitter,2015-06,yes,Didier CODORNIOU,,DVG-PRG,m,,"Maire, Vice-Président de Conseil Régional",didiercodorniou,Maire de Gruissan. Vice-Président de la région Languedoc-Roussillon. Vice-Président de la communauté d'agglomération du Grand Narbonne,gruissan,aude,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Dieunor EXCELLENT,,DVG-PRG,m,,"Conseiller communautaire, Conseiller municipal",dieunore,Conseiller municipal - Conseiller communautaire #ChangeonsVilletaneuse http://www.youtube.com/excellent2014 ,,,n,,,TRUE,,,523573451,697,283,2012,14/04/2015
Twitter,2015-06,yes,Dieunor EXCELLENT,,DVG-PRG,m,,"Conseiller communautaire, Conseiller municipal",dieunore,Conseiller municipal - Conseiller communautaire #ChangeonsVilletaneuse http://t.co/6ZYpFRCgvW,villetaneuse,seine saint denis,y,,,TRUE,,,523573451,697,283,2012,14/04/2015
Élus 2.0,2015-06,"no, use updated profile",Dominique ORLIAC,,DVG-PRG,f,,"Conseiller départemental, Député",d_orliac,"Députée du Lot, Conseillère Générale du Lot, Vice-présidente du Parti radical de gauche et Présidente de la Fédération du Lot du Parti Radical de Gauche",,,n,,,TRUE,,,1547936252,283,631,2013,11/04/2015
Twitter,2015-06,yes,Dominique ORLIAC,,DVG-PRG,f,,Député,d_orliac,Députée #PRG du Lot #Circo4601 - Membre #AfSocAN & #OPECST Rapporteure #PPLEmbryon -  #Handicaps #TET #POLT,,lot,y,,,TRUE,,,1547936252,283,631,2013,11/04/2015
Élus 2.0,2015-06,"no, use newer account",Eddie AIT,,DVG-PRG,m,,"Conseiller régional, Maire, Vice-Président de Communauté d'Agglomération",eddieait,"Maire de Carrières-sous-Poissy, Président du groupe PRG - MUP au conseil régional d'Île-de-France et Vice-président de la Communauté d'agglomération des Deux Rives de la Seine",,,n,,,FALSE,,,25755809,2709,221,2009,16/04/2015
Twitter,2015-06,yes,Eddie AIT,,DVG-PRG,m,,"Conseiller régional, Maire",eddieait_of,Compte officiel. Conseiller Régional #PRG. Délégué spécial auprès de #HUCHON Prés. #Région #IDF. Président #Arcadi #IDF. Maire de #Carrières (2008-2014),,yvelines,y,,,TRUE,,,134439661,6099,1753,2010,21/04/2015
Twitter,2015-06,yes,Fabrice DALONGEVILLE,,DVG-PRG,m,,"Conseiller régional, Maire",fabdalongeville,Journaliste et consultant. Maire et conseiller régional. President du CRT Picardie. #digital #tourisme #markterr #laicite #liberte #jesuischarlie,,,n,,,TRUE,,,361204997,2626,697,2011,18/04/2015
Twitter,2015-06,yes,Fabrice MOULIN,,DVG-PRG,m,,Maire adjoint,fm_prgparis,"Porte-parole de la fédé de Paris et SN du Parti Radical de Gauche (PRG), Maire-adjoint #PRG de #Paris12 chargé Securité et Prévention, pour #Scootlib à Paris",paris,paris,y,,,TRUE,,,339647694,5000,782,2011,21/04/2015
Twitter,2015-06,yes,Florence BRUTUS,,DVG-PRG,f,,Conseiller régional,florencebrutus,Conseillere Regionale PRG Candidate aux élections legislatives 6° circonscription Hérault,,herault,y,,,TRUE,,,579116611,10,52,2012,23/05/2012
Twitter,2015-06,yes,Franck GUEGUENIAT,,DVG-PRG,m,,Maire,fguegueniat,"Maire d'EPRON (calvados) Vp de Caen la mer au marketing territorial, à la communication et au numérique Secretaire national du PRG",,calvados,y,,,TRUE,,,562899143,341,216,2012,20/04/2015
Twitter,2015-06,yes,Françoise LABORDE,,DVG-PRG,f,,Sénateur,laborde_senat,"Sénatrice de Haute-Garonne, membre de la Commission Culture et Education. Membre de l'Observatoire de la laïcité. Adjointe au maire à la Culture de Blagnac",,haute garonne,y,,,TRUE,,,1429776210,1731,830,2013,20/04/2015
Twitter,2015-06,yes,Frédéric BARDOUX,,DVG-PRG,m,,Conseiller municipal,fbardoux,Conseiller municipal PRG à #Reims. DGS Ville et agglo de Chateau-thierry. #culture #environnement #finance #energie.,reims,marne,y,,,TRUE,,,392658393,4437,807,2011,20/04/2015
Twitter,2015-06,yes,Géraldine GUILPAIN,,DVG-PRG,f,,"Responsable politique national, Sans mandat électif courant",geraldine_gu,Présidente des Jeunes Radicaux de Gauche #JRG #PRG #humaniste #feministe #progressiste,,,n,,,TRUE,,,454701917,663,421,2012,20/04/2015
Twitter,2015-06,yes,Grégory CASSAGNEAU,,DVG-PRG,m,,Maire adjoint,gregorybaldass,Professeur de Physique-Chimie. Adjoint au maire de Montech en charge de l'urbanisme. Délégué régional JRG Midi-Pyrénées,montech,tarn et garonne,y,,,TRUE,,,1324778383,679,208,2013,16/04/2015
Twitter,2015-06,yes,Guillaume LACROIX,,DVG-PRG,m,,"Maire adjoint, Responsable politique national, Vice-Président de Communauté d'Agglomération",glacroix01,Maire-adjoint #BourgEnBresse et Vice-président de l'Agglomération. Secrétaire général du #PartiRadicaldeGauche,bourg en bresse,ain,y,SG PRG,http://www.planeteradicale.org/L-equipe-dirigeante.html,TRUE,,,479317439,2574,1173,2012,19/04/2015
Twitter,2015-06,yes,Honoré PUIL,,DVG-PRG,m,,Président de Communauté d'Agglomération,honorepuil,"Elu rennais, Vice-président de Rennes Métropole délégué à l'habitat, président de la fédération d'Ille-et-Vilaine du Parti Radical de Gauche (P.R.G)",rennes,ille et vilaine,y,,,TRUE,,,1942148251,323,348,2013,10/04/2015
Élus 2.0,2015-06,"no, use updated profile",Jacques KRABAL,,DVG-PRG,m,,"Député, Maire",jkrabal,Député de la 5e circonscription de l'Aisne et Maire de Château-Thierry,,,n,,,TRUE,,,1946847096,1800,940,2013,17/04/2015
Twitter,2015-06,yes,Jean-Bernard BROS,,DVG-PRG,m,,"Conseiller municipal, Responsable politique national",jb_bros,"Conseiller de Paris et Président du groupe Radical de gauche, Centre et Indépendants au #ConseildeParis / Trésorier @PartiRadicalG.",paris,paris,y,T PRG,,TRUE,,,184803344,2861,2025,2010,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Jean-Michel BAYLET,,DVG-PRG,m,,"Conseiller municipal, Sénateur",jmbaylet,"Sénateur de Tarn-et-Garonne, Conseiller municipal de Montjoi et Président du Parti Radical de Gauche",,,n,,,TRUE,,,321291985,1158,7852,2011,02/04/2015
Twitter,2015-06,yes,Jean-Michel BAYLET,,DVG-PRG,m,,"Conseiller municipal, Responsable politique national",jmbaylet,Ancien ministre - Président du @PartiRadicalG - Conseiller général de @tarnetgaronne,,tarn et garonne,y,P PRG,,TRUE,,,321291985,1158,7852,2011,02/04/2015
Élus 2.0,2015-06,"no, use updated profile",Jean-Pierre PLANCADE,,DVG-PRG,m,,"Conseiller départemental, Sénateur",jpplancade,"Sénateur de la Haute-Garonne, vice-Président de la Commission de la Culture, Conseiller général de Toulouse VI",,,n,,,TRUE,,,270919379,890,880,2011,11/04/2014
Twitter,2015-06,yes,Jean-Pierre PLANCADE,,DVG-PRG,m,,Sénateur,jpplancade,"Sénateur de la Haute Garonne, Conseiller Général de Toulouse VI, Vice-président de la Commission de la Culture, Membre de l'assemblée parlementaire de l'OSCE.",toulouse,haute garonne,y,,,TRUE,,,270919379,890,880,2011,11/04/2014
Twitter,2015-06,yes,Joël GIRAUD,,DVG-PRG,m,,Député,joelgiraud05,Député PRG-RRDP,,hautes alpes,y,,,TRUE,,,1906998314,158,524,2013,09/04/2015
Twitter,2015-06,yes,Karim AMAZOUZ,,DVG-PRG,m,,Conseiller municipal,amazouzkarim,Conseiller municipale et candidat PRG à Romainville.,romainville,seine saint denis,y,,,TRUE,,,2381401501,3,20,2014,13/03/2014
Twitter,2015-06,"no, use newer account",Laurence GOLDGRAB,https://duckduckgo.com/?q=Laurence+GOLDGRAB+twitter,DVG-PRG,f,,"Conseiller municipal, Maire adjoint",lgoldgrab,Conseillère de Paris déléguée aux entreprises culturelles – Conseillère 3ème arrondissement - Secrétaire générale @PRG75 –,paris,paris,y,,,FALSE,,,2250726403,37,201,2013,06/06/2014
Twitter,2019-06,"no, protected account",Laurence GOLDGRAB,https://duckduckgo.com/?q=Laurence+GOLDGRAB+twitter,DVG-PRG,f,,"Conseiller municipal, Maire adjoint",LGoldgrab,"Présidente du @groupeRGCI au #ConseildeParis, conseillère déléguée #3èmearrondissement aux finances et à la culture",paris,paris,y,,,FALSE,,,2250726403,37,201,2013,06/06/2014
Twitter,2015-06,"no, protected account",Marie-Claude LEGUILLON,,DVG-PRG,f,,Conseiller régional,leguillonmc,,,allier,y,,,FALSE,,,,,,,
Twitter,2015-06,"no, ambiguous identity",Marylène MAZZORANA,,DVG-PRG,f,,Conseiller régional,maloumkmarylene,,,loire atlantique,y,,,FALSE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Maurice POLLET,,DVG-PRG,m,,Conseiller municipal,mauricepollet,Conseiller Municipal de Savigny le Temple et Secrétaire Général du Parti Radical de Gauche de Seine et Marne,,,n,,,TRUE,,,391604819,36,126,2011,07/10/2014
Twitter,2015-06,yes,Maurice POLLET,,DVG-PRG,m,,Maire adjoint,mauricepollet,Né à Lille. Maire Adjoint de Savigny le Temple. PDG de la SEMSA. Secrétaire Général du PRG 77. Membre du Comité Directeur National duPRG,lille,nord,y,,,TRUE,,,391604819,36,126,2011,07/10/2014
Twitter,2015-06,yes,Mélanie FORTIER,,DVG-PRG,f,,Conseiller régional,melanifortier,Conseillère Régionale rapporteur général du budget. Ingénieur Urbaniste chef de projet mairie de Tours. Parti Radical de Gauche,,indre et loire,y,,,TRUE,,,,,,,
Regards Citoyens,2015-06,yes,Michel AMIEL,,DVG-PRG,m,,Sénateur,michelamiel,"Compte officiel de Michel AMIEL, maire des Pennes-Mirabeau, Conseiller général des Bouches du Rhône.",,bouches du rhone,y,,,TRUE,,,507370066,4,84,40967,NA
Twitter,2015-06,yes,Muriel GUENOUX,,DVG-PRG,f,,Conseiller régional,murielguenoux,"Conseillère régionale #PRG d'Ile-de-France #CRIDF et Présidente du groupe PRG-MUP, @PRG_75",,,n,,,TRUE,,,114442618,352,611,2010,20/04/2015
Twitter,2015-06,yes,Olivier MAILLEBUAU,,DVG-PRG,m,,Maire adjoint,omaillebuau,"Adjoint au Maire du 2e arrondissement #sécurité #propreté #paris02, Secrétaire Général @PRG_75",paris,paris,y,,,TRUE,,,35459663,1536,1058,2009,20/04/2015
Twitter,2015-06,yes,Pascal-Eric LALMY,,DVG-PRG,m,,Conseiller municipal,pe_lalmy,"Politique - secrétaire national du #PRG à la #laïcité, la #communication et aux nvelles technologies, président du #PRG95, conseiller municipal d'#Osny",osny,val d oise,y,,,TRUE,,,304385893,4069,843,2011,15/04/2015
Twitter,2015-06,yes,Patrick MOLINOZ,,DVG-PRG,m,,Maire,patrickmolinoz,"Président du Pays Auxois-Morvan, Conseiller général de la Côte d'Or, Président de la COPAS et Maire de Venarey les laumes.",,cote d or,y,,,TRUE,,,543343596,294,422,2012,25/03/2014
Élus 2.0,2015-06,"no, use updated profile",Paul GIACOBBI,,DVG-PRG,m,,"Député, Président de Conseil Départemental",pgiacobbi,Député de la 2e circonscription de la Haute-Corse et Président du Conseil général de Corse,,,n,,,TRUE,,,492989594,2210,4248,2012,16/04/2015
Twitter,2015-06,yes,Paul GIACOBBI,,DVG-PRG,m,,"Député, Président de Conseil Régional",pgiacobbi,Député de la 2ème circonscription de Haute-Corse - Président du Conseil exécutif de Corse,,haute corse,y,,,TRUE,,,492989594,2210,4248,2012,16/04/2015
Twitter,2015-06,yes,Roger-Gérard SCHWARTZENBERG,,DVG-PRG,m,,Député,rgs_an,"Compte de RG Schwartzenberg, Président du Groupe @RRDPdep #PRG à l'Assemblée nationale. Les tweets rédigés par le président sont signés RGS.",,val de marne,y,,,TRUE,,,2524799365,146,413,2014,18/03/2015
Twitter,2015-06,yes,Romain BOEUF-ALARY,,DVG-PRG,m,,Conseiller régional,rboeufalary,"Délégué régional des #JRG pour les Pays de la Loire, #PRG 85, Conseiller régional jeune en Pays de la Loire. #ServiceCivique à @uniscite (La Rochelle)",la rochelle,charente maritime,y,,,TRUE,,,1082694800,408,229,2013,20/04/2015
Twitter,2015-06,yes,Sabine BUIS,,DVG-PRG,f,,"Conseiller régional, Député",buissabine,Députée de l'Ardèche - Conseillère Régionale @rhonealpes - Membre Commission Développement Durable @AssembleeNat,,ardeche,y,,,TRUE,,,2283519480,2898,1588,2014,21/04/2015
Twitter,2015-06,yes,Sébastien EUGENE,,DVG-PRG,m,,Maire adjoint,sebastieneugene,Maire-Adjoint aux Finances #ChateauThierry. Chef de cabinet @AnnickGirardin. Président de la fédération #PRG de l'#Aisne. Tweets perso.,,aisne,y,,,TRUE,,,76675206,607,301,2009,16/04/2015
Twitter,2015-06,yes,Stéphane CLAIREAUX,,DVG-PRG,m,,Député,sclaireaux,"Député de Saint-Pierre et Miquelon, membre du groupe @RRDPdep, du @PartiRadicalG et du mouvement local Cap sur l'Avenir",,DOM TOM-SAINT-PIERRE-ET-MIQUELON,y,,,TRUE,,,545389706,39,153,2012,02/04/2015
Twitter,2015-06,yes,Stéphane MAZARS,,DVG-PRG,m,,"Maire adjoint, Sénateur",s_mazars,Avocat - Maire adjoint de la ville de Rodez. Sénateur de l'Aveyron. #Senat #avocat #Rodez #Aveyron,rodez,aveyron,y,,,TRUE,,,1429780352,164,485,2013,28/01/2014
Twitter,2015-06,yes,Stéphane PERRIN,,DVG-PRG,m,,Conseiller municipal,stephperrin35,Conseiller municipal PRG de Saint-Malo,saint malo,ille et vilaine,y,,,TRUE,,,526091438,441,417,2012,19/04/2015
Élus 2.0,2015-06,"no, use updated profile",Stéphane SAINT-ANDRE,,DVG-PRG,m,,"Député, Maire",andrsaint,"Député de la 9e circonscription du Pas-de-Calais, Maire de Béthune",,,n,,,FALSE,,,535168719,214,744,2012,17/04/2015
Twitter,2015-06,"no, use newer account",Stéphane SAINT-ANDRE,https://duckduckgo.com/?q=Stéphane+SAINT-ANDRE+twitter,DVG-PRG,m,,Député,andrsaint,Député PRG du Pas de Calais,calais,pas de calais,y,,,FALSE,,,535168719,214,744,2012,17/04/2015
Twitter,2015-06,yes,Stéphane SAINT-ANDRE,https://duckduckgo.com/?q=Stéphane+SAINT-ANDRE+twitter,DVG-PRG,m,,Responsable politique national,stephane_sta,Ancien Président de VNF  Co Président des Radicaux de Gauche  Ancien député maire de Béthune,calais,pas de calais,y,,,TRUE,,,535168719,214,744,2012,17/04/2015
Élus 2.0,2015-06,"no, use updated profile",Sylvia PINEL,,DVG-PRG,f,,"Conseiller régional, Ministre",sylviapinel,"Ministre du Logement, de l’Égalité des territoires et de la Ruralité",,,n,,,TRUE,,,358886584,2760,14922,2011,21/04/2015
Twitter,2015-06,yes,Sylvia PINEL,,DVG-PRG,f,,"Conseiller régional, Ministre",sylviapinel,"Ministre du Logement, de l’Egalité des territoires et de la Ruralité - @territoires",,,n,,,TRUE,,,358886584,2760,14922,2011,21/04/2015
Twitter,2015-06,yes,Thierry BLANDIN,,DVG-PRG,m,,Maire adjoint,blandinthierry,"adjoint à la maire du XX chargé des sports et du développement économique,PRG humaniste,républicain,laique.mes tweets n'engagent que moi",paris,paris,y,,,TRUE,,,304463373,920,401,2011,10/04/2015
Élus 2.0,2015-06,"no, use updated profile",Thierry BRAILLARD,,DVG-PRG,m,,Secrétaire d'Etat,th_braillard,"Secrétaire d’État auprès du ministre de la Ville, de la Jeunesse et des Sports, chargé des Sports",,,n,,,TRUE,,,347137825,2381,7623,2011,21/04/2015
Twitter,2015-06,yes,Thierry BRAILLARD,,DVG-PRG,m,,Secrétaire d'Etat,th_braillard,Secrétaire d'Etat aux #Sports,,,n,,,TRUE,,,347137825,2381,7623,2011,21/04/2015
Twitter,2015-06,yes,Vincent GAREL,,DVG-PRG,m,,"Maire, Président de Communauté d'Agglomération",garelvg,Maire d'Aiguefonde vice président de l'agglo castres mazamet Administrateur de l'asso des maires du Tarn Président du PRG 81 Membre du Bureau National du PRG,aiguefonde,tarn,y,,,TRUE,,,719678578,215,209,2013,19/04/2015
Twitter,2015-06,yes,Virginie ROZIERE,,DVG-PRG,f,,Député européen,vroziere,Eurodéputée @PartiRadicalG (#PRG) de la circonscription du #SudOuest.,,EUROPE,y,,,TRUE,,,2293287188,521,1347,2014,16/04/2015
Élus 2.0,2015-06,"no, use updated profile",Yann JUIN,,DVG-PRG,m,,"Conseiller départemental, Maire, Vice-Président de Communauté d'Agglomération",yannjuin,"Maire d'Esnandes, Conseiller Général de Charente-Maritime, Vice-Président de la CdA de La Rochelle",,,n,,,TRUE,,,72075520,1714,628,2009,20/02/2015
Twitter,2015-06,yes,Yann JUIN,,DVG-PRG,m,,Conseiller municipal,yannjuin,,,,n,,,TRUE,,,72075520,1714,628,2009,20/02/2015
Élus 2.0,2015-06,"no, use updated profile",Adeline HAZAN,,PS,f,,Maire,adelinehazan,Maire de Reims et Secrétaire nationale du Parti socialiste en charge des questions des Droits de l'homme,,,n,,,TRUE,,,78845732,2005,5801,2009,22/07/2014
Twitter,2015-06,yes,Adeline HAZAN,,PS,f,,Sans mandat électif courant,adelinehazan,,,,n,,,TRUE,,,78845732,2005,5801,2009,22/07/2014
Twitter,2015-06,yes,Agnès SINSOULIER-BIGOT,,PS,f,,Conseiller régional,asinsoulier,Conseillère régionale PS du Centre. Secrétaire de la section du Parti Socialiste de Bourges.,bourges,cher,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Akli MELLOULI,,PS,m,,Maire adjoint,aklimellouli,"Maire-adjoint,Président du groupe socialiste(94) Secrétaire fédéral aux élections et relations extérieures( Partis,Syndicats) Membre titulaire du Conseil National du parti. Président de l'espace Franco Algerien",,,n,,,TRUE,,,335227680,562,952,2011,04/04/2015
Twitter,2015-06,yes,Akli MELLOULI,,PS,m,,Maire adjoint,aklimellouli,Maire-adjoint @partisocialiste de Bonneuil,bonneuil,val de marne,y,,,TRUE,,,335227680,562,952,2011,04/04/2015
Regards Citoyens,2015-06,yes,Alain ANZIANI,,PS,m,,Sénateur,aanziani,"Sénateur de la Gironde (PS), Maire de Mérignac.",merignac,gironde,y,,,TRUE,,,52751581,322,894,39995,NA
Twitter,2015-06,yes,Alain BUSSIERE,,PS,m,,Vice-Président de Conseil Régional,alainbussiere,"1er vice-président du conseil régional, enseignant à l'Université Blaise Pascal",,puy de dome,y,,,TRUE,,,,,,,
Élus 2.0,2015-06,"no, use updated profile",Alain CALMETTE,,PS,m,,Député,alaincalmette,Député de la 1re circonscription du Cantal,,,n,,,TRUE,,,2535079881,101,244,2014,15/04/2015
Twitter,2015-06,yes,Alain CALMETTE,,PS,m,,"Conseiller communautaire, Conseiller départemental, Député",alaincalmette,Député du Cantal. Conseiller Départemental Aurillac 3,aurillac,cantal,y,,,TRUE,,,2535079881,101,244,2014,15/04/2015
Twitter,2015-06,yes,Alain FONTANEL,,PS,m,,"Conseiller régional, Maire adjoint",alainfontanel,1erAdjt au Maire de Strasbourg chargé de la culture Vice-Pt Eurometropole Conseiller régional Alsace,strasbourg,bas rhin,y,,,TRUE,,,,,,,
Twitter,2015-06,yes,Alain LAGARDE,,PS,m,,"Conseiller régional, Maire adjoint",lagardealain,Conseiller régional du Limousin - Président de Dorsal - Adjoint au maire de Tulle.,tulle,correze,y,,,TRUE,,,,,,,
Regards Citoyens,2015-06,yes,Alain NÉRI,,PS,m,,Sénateur,alainneri,Sénateur Maire de Beauregard l'Évêque Conseiller Général du Puy de Dôme,,puy de dome,y,,,TRUE,,,497284658,18,311,40958,NA
Élus 2.0,2015-06,"no, use updated profile",Alain ROUSSET,,PS,m,,"Député, Président de Conseil Régional",al_rousset,Député de la 7ième circonscription de la Gironde et Président du conseil régional d'Aquitaine,,,n,,,TRUE,,,469126890,1664,5083,2012,21/04/2015
Twitter,2015-06,yes,Alain ROUSSET,,PS,m,,"Député, Président de Conseil Régional",al_rousset,"Président de la Région Aquitaine, Président de l’ARF, Député de la Gironde",,gironde,y,,,TRUE,,,469126890,1664,5083,2012,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Alain VIDALIES,,PS,m,,"Conseiller départemental, Secrétaire d'Etat",avidalies,"Secrétaire d’État auprès de la ministre de l’Écologie, du Développement durable et de l’Énergie, chargé des Transports, de la Mer et de la Pêche",,,n,,,TRUE,,,425643814,1983,14133,2011,21/04/2015
Twitter,2015-06,yes,Alain VIDALIES,,PS,m,,"Député, Secrétaire d'Etat",avidalies,"Secrétaire d’Etat en charge des Transports, de la Mer et de la Pêche. Député des Landes.",,landes,y,,,TRUE,,,425643814,1983,14133,2011,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Alexis BACHELAY,,PS,m,,Député,abachelay,Député de la 1ère circonscription des Hauts-de-Seine,,,n,,,TRUE,,,817779691,10462,6443,2012,21/04/2015
Twitter,2015-06,yes,Alexis BACHELAY,,PS,m,,Député,abachelay,"Député de la 1ère circonscription des Hauts-de-Seine #Colombes, #Gennevilliers, #VilleneuvelaGarenne Porte-parole de la @gaucheforte  + @LaFabriquePS",colombes,hauts de seine,y,,,TRUE,,,817779691,10462,6443,2012,21/04/2015
Élus 2.0,2015-06,"no, use updated profile",Ali SOUMARE,,PS,m,,Conseiller régional,alisoumare,"Conseiller Régional, Secrétaire fédéral chargé de la vie associative au PS et Secrétaire de la section du Parti socialiste de Villiers-le-Bel,",,,n,,,TRUE,,,106187614,2162,3895,2010,20/04/2015
Twitter,2015-06,yes,Ali SOUMARE,,PS,m,,Conseiller régional,alisoumare,"Conseiller régional Ile-de-France, Secrétaire de section (PS) à Villiers-le-Bel (Val d'Oise) membre du conseil national (PS). Instagram:ali_soumare",,val d oise,y,,,TRUE,,,106187614,2162,3895,2010,20/04/2015
Élus 2.0,2015-06,"no, use updated profile",Amandine JANIAUD-VERGNAUD,,PS,f,,Conseiller municipal,mandinette77,Conseillère municipale à Torcy,,,n,,,TRUE,,,40751494,31272,7205,2009,21/04/2015
Twitter,2015-06,yes,Amandine JANIAUD-VERGNAUD,,PS,f,,Conseiller municipal,mandinette77,"Ex et actuelle beaucoup de choses, mais en fait juste moi #77 #ClubBourbon #Leftblog #GirlPower #DirectAN",,seine et marne,y,,,TRUE,,,40751494,31272,7205,2009,21/04/2015
